latitude,longitude,cone,type
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
42.39332,-72.52950287,0,T
